id_signal,timestamp,value
presure,1451642400.0,1108
visibility,1451642400.0,2
temperature,1451642400.0,-12
wind,1451642400.0,25
humidity,1451642400.0,97
presure,1451728800.0,1168
visibility,1451728800.0,14
temperature,1451728800.0,-28
wind,1451728800.0,97
humidity,1451728800.0,61
presure,1451815200.0,1150
visibility,1451815200.0,15
temperature,1451815200.0,-26
wind,1451815200.0,49
humidity,1451815200.0,83
presure,1451901600.0,996
visibility,1451901600.0,14
temperature,1451901600.0,-39
wind,1451901600.0,158
humidity,1451901600.0,6
presure,1451988000.0,1059
visibility,1451988000.0,17
temperature,1451988000.0,38
wind,1451988000.0,136
humidity,1451988000.0,70
presure,1452074400.0,1198
visibility,1452074400.0,7
temperature,1452074400.0,47
wind,1452074400.0,173
humidity,1452074400.0,89
presure,1452160800.0,1099
visibility,1452160800.0,0
temperature,1452160800.0,48
wind,1452160800.0,120
humidity,1452160800.0,92
presure,1452247200.0,927
visibility,1452247200.0,16
temperature,1452247200.0,22
wind,1452247200.0,121
humidity,1452247200.0,93
presure,1452333600.0,950
visibility,1452333600.0,5
temperature,1452333600.0,25
wind,1452333600.0,145
humidity,1452333600.0,67
presure,1452420000.0,1133
visibility,1452420000.0,9
temperature,1452420000.0,-36
wind,1452420000.0,30
humidity,1452420000.0,65
presure,1452506400.0,1001
visibility,1452506400.0,9
temperature,1452506400.0,33
wind,1452506400.0,164
humidity,1452506400.0,99
presure,1452592800.0,977
visibility,1452592800.0,12
temperature,1452592800.0,13
wind,1452592800.0,146
humidity,1452592800.0,71
presure,1452679200.0,1031
visibility,1452679200.0,0
temperature,1452679200.0,-40
wind,1452679200.0,138
humidity,1452679200.0,64
presure,1452765600.0,1057
visibility,1452765600.0,14
temperature,1452765600.0,-15
wind,1452765600.0,92
humidity,1452765600.0,61
presure,1452852000.0,968
visibility,1452852000.0,8
temperature,1452852000.0,-40
wind,1452852000.0,151
humidity,1452852000.0,82
presure,1452938400.0,1145
visibility,1452938400.0,3
temperature,1452938400.0,-21
wind,1452938400.0,154
humidity,1452938400.0,73
presure,1453024800.0,989
visibility,1453024800.0,16
temperature,1453024800.0,22
wind,1453024800.0,123
humidity,1453024800.0,62
presure,1453111200.0,1194
visibility,1453111200.0,6
temperature,1453111200.0,-37
wind,1453111200.0,81
humidity,1453111200.0,29
presure,1453197600.0,1127
visibility,1453197600.0,11
temperature,1453197600.0,32
wind,1453197600.0,141
humidity,1453197600.0,9
presure,1453284000.0,970
visibility,1453284000.0,12
temperature,1453284000.0,-18
wind,1453284000.0,47
humidity,1453284000.0,43
presure,1453370400.0,1194
visibility,1453370400.0,19
temperature,1453370400.0,39
wind,1453370400.0,176
humidity,1453370400.0,44
presure,1453456800.0,948
visibility,1453456800.0,1
temperature,1453456800.0,6
wind,1453456800.0,77
humidity,1453456800.0,89
presure,1453543200.0,1148
visibility,1453543200.0,19
temperature,1453543200.0,-1
wind,1453543200.0,111
humidity,1453543200.0,87
presure,1453629600.0,1138
visibility,1453629600.0,11
temperature,1453629600.0,-11
wind,1453629600.0,169
humidity,1453629600.0,23
presure,1453716000.0,1138
visibility,1453716000.0,12
temperature,1453716000.0,2
wind,1453716000.0,183
humidity,1453716000.0,72
presure,1453802400.0,968
visibility,1453802400.0,3
temperature,1453802400.0,-9
wind,1453802400.0,147
humidity,1453802400.0,39
presure,1453888800.0,1168
visibility,1453888800.0,19
temperature,1453888800.0,-43
wind,1453888800.0,134
humidity,1453888800.0,62
presure,1453975200.0,1076
visibility,1453975200.0,17
temperature,1453975200.0,-9
wind,1453975200.0,168
humidity,1453975200.0,29
presure,1454061600.0,1008
visibility,1454061600.0,1
temperature,1454061600.0,-49
wind,1454061600.0,102
humidity,1454061600.0,0
presure,1454148000.0,1027
visibility,1454148000.0,16
temperature,1454148000.0,-8
wind,1454148000.0,170
humidity,1454148000.0,41
presure,1454234400.0,1170
visibility,1454234400.0,13
temperature,1454234400.0,-4
wind,1454234400.0,16
humidity,1454234400.0,73
presure,1454320800.0,947
visibility,1454320800.0,19
temperature,1454320800.0,-2
wind,1454320800.0,164
humidity,1454320800.0,35
presure,1454407200.0,1075
visibility,1454407200.0,19
temperature,1454407200.0,45
wind,1454407200.0,49
humidity,1454407200.0,60
presure,1454493600.0,1185
visibility,1454493600.0,11
temperature,1454493600.0,39
wind,1454493600.0,158
humidity,1454493600.0,55
presure,1454580000.0,937
visibility,1454580000.0,19
temperature,1454580000.0,-11
wind,1454580000.0,166
humidity,1454580000.0,27
presure,1454666400.0,955
visibility,1454666400.0,10
temperature,1454666400.0,-41
wind,1454666400.0,58
humidity,1454666400.0,21
presure,1454752800.0,1129
visibility,1454752800.0,11
temperature,1454752800.0,40
wind,1454752800.0,117
humidity,1454752800.0,21
presure,1454839200.0,1101
visibility,1454839200.0,7
temperature,1454839200.0,-4
wind,1454839200.0,115
humidity,1454839200.0,65
presure,1454925600.0,1168
visibility,1454925600.0,15
temperature,1454925600.0,-47
wind,1454925600.0,191
humidity,1454925600.0,59
presure,1455012000.0,1050
visibility,1455012000.0,11
temperature,1455012000.0,20
wind,1455012000.0,120
humidity,1455012000.0,61
presure,1455098400.0,903
visibility,1455098400.0,12
temperature,1455098400.0,-14
wind,1455098400.0,73
humidity,1455098400.0,35
presure,1455184800.0,1095
visibility,1455184800.0,7
temperature,1455184800.0,33
wind,1455184800.0,176
humidity,1455184800.0,30
presure,1455271200.0,963
visibility,1455271200.0,12
temperature,1455271200.0,25
wind,1455271200.0,138
humidity,1455271200.0,11
presure,1455357600.0,990
visibility,1455357600.0,19
temperature,1455357600.0,42
wind,1455357600.0,105
humidity,1455357600.0,37
presure,1455444000.0,1085
visibility,1455444000.0,13
temperature,1455444000.0,-10
